chr	pos	w	Order
chr10	18240000	3|4|5|6|7	5
chr10	18560000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr10	18600000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr10	19080000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr10	19120000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr10	19400000	3|4|5|6	4
chr10	19640000	3	1
chr10	19800000	3|4|5|6|7|8|9|10|11	9
chr10	20840000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34	32
chr10	20880000	35|36|37|38|39|40	6
chr10	21040000	28|29|30|31|32|33|34|38|39|40	10
chr10	21080000	3|4	2
chr10	21280000	3|4|5|6|7|8|9|10|11|12|31|32|33|34|35|36|37|38|39|40	20
chr10	21520000	3|4|5|6|7|10|11	7
chr10	21720000	3|4|5	3
chr10	21960000	9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28	20
chr10	22000000	3|4|5|6|7|8	6
chr10	22240000	3|4	2
chr10	22320000	3|4|5|6|7	5
chr10	22520000	11	1
chr10	22560000	3|4|5|6|7|8|9|10	8
chr10	23000000	3|4|5	3
chr10	23080000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|33|34|35|36|37|38	21
chr10	23120000	18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|39|40	17
chr10	23320000	3|4	2
chr10	23520000	3|4|5	3
chr10	23560000	6	1
chr10	23600000	7	1
chr10	23680000	7|8	2
chr10	23720000	3|4|5|9|10|11|12	7
chr10	23960000	10	1
chr10	24000000	3|4|5|6	4
chr10	24200000	3|4|5|7|8|9|10|11|12|14|15	11
chr10	24360000	3	1
chr10	24560000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38	36
chr10	25080000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32	30
chr10	25240000	3	1
chr10	25520000	20|21|22|23	4
chr10	25720000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28	26
chr10	26280000	6	1
chr10	26320000	3|4|5|7|8|9|10|11|12|13|14|15|16|27|28|29|30	17
chr10	26560000	3|4	2
chr10	26600000	5|6|7|8|9|10|11|12|13|15|16|17|18	13
chr10	26680000	4|5|7|8|10|11|12|13|14|15|16|17	12
chr10	26720000	3|9|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	25
chr10	26880000	3|4|5|6|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	24
chr10	27160000	4|5|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	19
chr10	27200000	3|6|9|11|12|13|17|18|19|20|21|22|23	13
chr10	27240000	8|15	2
chr10	27360000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|20|21|22|25|37|38|39|40	24
chr10	27520000	16|17|19|20|21|24|25|26|27|38|39|40	12
chr10	27560000	3|4|11|12|13|14	6
chr10	27680000	11	1
chr10	27720000	6|7|8|9|10	5
chr10	27760000	3|4|5	3
chr10	28200000	4	1
chr10	28240000	3|5|6|7|8|9|10|11|12|13|14|15|16|18|19|29|30|31|32|33|34|35|36	23
chr10	28400000	3|4|5|6|7|8|9|10|11|12|13|14|15	13
chr10	28440000	16|17|18|20|21|22|23|24|25|26|27|28|36|37|38|39|40	17
chr10	28560000	18|19|20|21|22	5
chr10	28600000	6|7|8|9|10|11|12|13|14|15|16|17|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	30
chr10	28640000	3|4|5	3
chr10	29000000	3	1
chr10	29360000	3|4	2
chr10	29480000	5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	36
chr10	29520000	3|4	2
chr10	30000000	3|4|5|6|7|8|9|10|11|12|13|34|35|36|37|38|39|40	18
chr10	30320000	6|7	2
chr10	30360000	3|4|5|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	36
chr10	30640000	17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	24
chr10	30680000	5|6|7|9|10|11|12|13|14|15|16	11
chr10	30720000	4|8	2
chr10	30760000	3	1
chr10	31080000	4|5|6	3
chr10	31320000	3|4	2
chr10	31480000	3|4|5|6|7|8|9	7
chr10	31520000	10|11|13|15|16	5
chr10	31800000	3|4|5|6	4
chr10	31840000	7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	34
chr10	32000000	5|6|7|8|9|10|11|12|14|19|22	11
chr10	32040000	3|4|13|15|16|17|18|20|21|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	27
chr10	32200000	3	1
chr10	32240000	4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|26|27|28|29|30|31|32|33|34|35|36|37|38	34
chr10	32360000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr10	32920000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr10	33160000	15|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	25
chr10	33200000	4|7|8|9|10|11|12|13|14|16	10
chr10	33280000	11	1
chr10	33320000	3|4|5|6|7|8|9|10|12|13	10
chr10	33520000	3	1
chr10	34160000	3	1
chr10	34320000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17	15
chr10	34520000	9|10|14|15|16	5
chr10	34640000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr10	35000000	3|4|5	3
chr10	35040000	39	1
chr10	35080000	6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|40	34
chr10	35240000	3|5	2
chr10	35560000	18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39	22
chr10	35600000	6|7|8|9|10|11|12|13|14|15|16|17	12
chr10	35640000	3|4|5	3
chr10	35960000	3	1
chr10	36760000	3	1
chr10	36880000	3|4|5|6	4
chr10	37160000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr10	37200000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr10	37520000	3|4|5|6|7	5
chr10	37760000	3|4	2
chr10	37840000	6|7|8	3
chr10	37960000	4|5|6	3
chr10	38000000	3	1
chr10	38240000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr10	42360000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr10	42800000	6|7|8|9|10	5
chr10	42840000	3|4|5	3
chr10	43120000	3|4|5|6|8|10	6
chr10	43160000	7	1
chr10	43480000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27	25
chr10	43600000	29	1
chr10	43640000	9|10|11|12|13|14|18	7
chr10	43680000	3|4|5|6|7|8	6
chr10	44400000	3|4|5|6|7|8|9|10|11	9
chr10	44880000	3	1
chr10	44920000	4|5|6|7|8|9|10|11|12|13|14|15|16	13
chr10	45240000	3|4|5|6|7	5
chr10	45480000	3|4	2
chr10	45680000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr10	46160000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr10	46320000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr10	47000000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr10	47440000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr10	48200000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr10	48360000	3	1
chr10	48520000	3	1
chr10	48640000	10	1
chr10	48680000	3|4|5|6|7|8|9	7
chr10	48960000	3|4|5|6|7	5
chr10	49160000	3	1
chr10	49200000	4	1
chr10	49400000	3|4|5|6|7|8	6
chr10	49520000	3|4|5|6	4
chr10	49840000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr10	50200000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr10	50440000	3|4	2
chr10	50680000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr10	50760000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr10	51000000	3|4|5	3
chr10	51400000	3|4|5|6|7	5
chr10	51960000	3|4|5|6|7	5
chr10	52000000	8	1
chr10	52040000	13	1
chr10	52240000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28	26
chr10	52280000	29|30|31|32|33|34|35|36|37	9
chr10	52480000	3	1
chr10	52600000	3|4|5|6|7	5
chr10	52640000	8|9|10|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	32
chr10	52800000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr10	53200000	3|4|5	3
chr10	53240000	6|7	2
chr10	53600000	3|4|5|6	4
chr10	53840000	3|4|5	3
chr10	54400000	3|4|5|6|7|8|9	7
chr10	54440000	10	1
chr10	54960000	7	1
chr10	55040000	5|6	2
chr10	55080000	3|4	2
chr10	55280000	3|4	2
chr10	55600000	31|37	2
chr10	55640000	7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|32|33|34|35|36|38|39|40	32
chr10	55760000	21	1
chr10	56440000	5|6|7|8	4
chr10	56800000	3|4	2
chr10	56840000	5|6|7|8|9	5
chr10	56880000	10	1
chr10	56920000	11|12	2
chr10	57320000	3|4|5|6|7|8	6
chr10	57560000	3|4|7|11|12|13|14	7
chr10	57600000	5|6	2
chr10	57680000	40	1
chr10	58160000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37	35
chr10	58200000	38|39	2
chr10	58320000	9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	32
chr10	58400000	3|4|5|6|7|8|9|10|11|12|14|15	12
chr10	58760000	3|4|5|36|37|38|40	7
chr10	58800000	6|7|8|9	4
chr10	58960000	3|4	2
chr10	59240000	3|4|5|6|7|8|9|10|11	9
chr10	59600000	3|4|5|6|7|8|10|11|12|13|14|15	12
chr10	59640000	9|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33	19
chr10	59840000	3|4|5|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	30
chr10	60080000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr10	60200000	22|23|24|26|27|29|31|32|33|34|35|36|38|39	14
chr10	60240000	3	1
chr10	60440000	3|4|5|6|7|8|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	27
chr10	60640000	3	1
chr10	60800000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr10	60960000	12	1
chr10	61000000	3	1
chr10	61280000	3|4|5|6|7|8|10	7
chr10	61720000	3|4|5|6	4
chr10	61760000	7|8|9|10|11|12|14|15|16|17|18|19	12
chr10	61840000	8|9	2
chr10	61880000	3|6|7|10|11|12|13|14|15|16|17|18|19|20|21|22|23|31	18
chr10	61920000	26|27|34	3
chr10	62040000	3|4|5|17|18|19|20|21|22|23|24|25|26|27|30|32|33|34|35|36|37|38|39|40	24
chr10	62240000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr10	62440000	3|4|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	36
chr10	62600000	3|4|5	3
chr10	62840000	3|4|5	3
chr10	63160000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr10	63840000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr10	64040000	3|4|5	3
chr10	64720000	4|5|6|7	4
chr10	65360000	3|4	2
chr10	65560000	3	1
chr10	66200000	3|4|5|6|7|8|9|10|11|12|13|14|15|16	14
chr10	66640000	3	1
chr10	66920000	3|4|5|6|7|10|14|15|16	9
chr10	66960000	8|9|11|12|13|17|18|19|20	9
chr10	67280000	3|4|5	3
chr10	67520000	3|5	2
chr10	67560000	4	1
chr10	67800000	3|4|5|6|7|8|9|10|11|12|13|14|15|16	14
chr10	67840000	17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	24
chr10	68040000	3|4	2
chr10	68200000	3	1
chr10	68360000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr10	68720000	3|4	2
chr10	68760000	5|6	2
chr10	68800000	10|11|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	24
chr10	68960000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr10	69120000	7|8|9|37|38|39|40	7
chr10	69200000	3|4|5|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	35
chr10	69400000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr10	69520000	6|7|8|9|10|11|13|14|15|16|17|18|19|20|21|22|23|24|25|27|28|31|32|35|36|37|38	27
chr10	69640000	3|5|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	36
chr10	69720000	4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	37
chr10	69960000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|32|33|34|35|36|37|38|39|40	35
chr10	70160000	4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	37
chr10	70200000	3	1
chr10	70400000	3|4|8|9|10|11|12|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	30
chr10	70440000	5|6|7|13|14|15|16|17	8
chr10	70560000	3|4	2
chr10	70800000	3|4	2
chr10	70880000	4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	37
chr10	70920000	3	1
chr10	71280000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31	29
chr10	71720000	4	1
chr10	71840000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr10	72080000	3|4|5|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39	31
chr10	72360000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32	30
chr10	72600000	3|4	2
chr10	72840000	3|4|5	3
chr10	72880000	6|7|8|9	4
chr10	73080000	4|5|6|7|8|9|11|12|13|14	10
chr10	73160000	4|5|6|7|10|11	6
chr10	73240000	3	1
chr10	73400000	3|5|6	3
chr10	73480000	3	1
chr10	73680000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr10	73720000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr10	73880000	3	1
chr10	74120000	3|4|5|6|7|8|9	7
chr10	74240000	3|4|5|6|7|8|9|10|11|12	10
chr10	74440000	3	1
chr10	74560000	6	1
chr10	74600000	3|4|5|7|8	5
chr10	74680000	4|5|6	3
chr10	75120000	3|4|5|6|7|8|9|10|11|12	10
chr10	75240000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37	35
chr10	75400000	3|4|5|6|7|8|9	7
chr10	75640000	4|5	2
chr10	76040000	5|6|7|12	4
chr10	76080000	3|4|8|9|10|11|13	7
chr10	76320000	3|4|5|6|7	5
chr10	76560000	3|4|5|6|7|8|9|10|11|12	10
chr10	77000000	3|4|5|6	4
chr10	77120000	13|14|15|16	4
chr10	77160000	3|4|5|6|7|8|9|10|11|12|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	34
chr10	77400000	3	1
chr10	77640000	3|4	2
chr10	77760000	4|5|6	3
chr10	77800000	3|7|8|9|10|11|12|13|14|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	30
chr10	77840000	15|16|17|18|19	5
chr10	78040000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36	34
chr10	78280000	4	1
chr10	78680000	3|4|5|6|7|8|9|10|11	9
chr10	78920000	3|4	2
chr10	79080000	3	1
chr10	79200000	3|4|5|6|7	5
chr10	79520000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr10	79880000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr10	80040000	3	1
chr10	80240000	3|4|5|6	4
chr10	80360000	4|5|6|7|8|9|10|11	8
chr10	80520000	3|9|10|11|12|13|14|15	8
chr10	80600000	7	1
chr10	80640000	5|6	2
chr10	80680000	3	1
chr10	81040000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|24|25|26|27|28	25
chr10	81200000	3	1
chr10	81400000	3|4	2
chr10	81840000	3|4|5|6|7|8|10	7
chr10	81880000	9|11|12|13|14	5
chr10	82760000	4|5|6|10|11|12|13|15|16|17	10
chr10	82800000	3|7|8|9|14	5
chr10	82960000	3|4	2
chr10	83400000	3|5|6|7|8|9	6
chr10	83840000	4	1
chr10	84120000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27	25
chr10	84160000	39	1
chr10	84240000	3|4|5|6|7|8|9|10|11|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	25
chr10	84560000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr10	84760000	3|8|9|10|11|12|13|14|15|16|17|18|19|20|21	15
chr10	84800000	4	1
chr10	84840000	5|6	2
chr10	85520000	3|4|5|6|7	5
chr10	86400000	3|4|5|6|7|8|9|10|11|12|13|14	12
chr10	86680000	3|4|5|6	4
chr10	87000000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr10	87520000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr10	87840000	3|4|5|6|7	5
chr10	88120000	3|4	2
chr10	88400000	3|4|5|6|7|8|9|10	8
chr10	88560000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25	23
chr10	88800000	3	1
chr10	88840000	4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|28|30|31	26
chr10	88920000	7	1
chr10	89000000	3|4|5|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36	33
chr10	89240000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr10	89400000	3|4|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	35
chr10	89560000	3|31|32	3
chr10	89600000	21|23|24|25|26|27|28|29|30|33|34|35|36|37|38|39|40	17
chr10	89720000	23|24|25	3
chr10	89760000	4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22	19
chr10	89800000	3	1
chr10	90000000	3	1
chr10	90160000	3|4	2
chr10	90440000	3	1
chr10	90600000	3	1
chr10	90720000	3|4|5|6	4
chr10	90760000	11|12|14|16	4
chr10	90880000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr10	91280000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	36
chr10	91400000	11|12|29	3
chr10	91440000	3|13|40	3
chr10	91760000	3|4|5|6|7|8|9|10|11|13|14|15|16|17|18|19|20|21|23|24|25|26|27|28|29|30|31|32|34|35|36|37|38|40	34
chr10	91800000	33	1
chr10	91960000	3|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	35
chr10	92040000	4|5|6|7	4
chr10	92080000	3	1
chr10	92440000	3	1
chr10	92480000	4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	37
chr10	92880000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr10	93040000	31|32|33|34|35|36|37|38|39|40	10
chr10	93080000	3|4	2
chr10	93320000	3|4|5	3
chr10	93360000	6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	35
chr10	93520000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr10	93680000	3|4|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	36
chr10	93840000	8	1
chr10	93880000	3|4|5|6|7	5
chr10	94320000	3|4|5|6	4
chr10	94520000	23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	18
chr10	94560000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22	20
chr10	95160000	3|4|5|6|7|8|9|10|11|12|13|14|15|16	14
chr10	95360000	3|4|5	3
chr10	95640000	3|4|5|6|8|9|10	7
chr10	95680000	7|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30	21
chr10	95880000	3|9|10|11|12|13|14|15|16|17|18|20	12
chr10	95920000	19|21|22	3
chr10	95960000	5|6	2
chr10	96000000	4|7|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	21
chr10	96360000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr10	96520000	9|10|12|24|25|26|27|29|30|31|32|33	12
chr10	96600000	4|5	2
chr10	96640000	3	1
chr10	96840000	3|4	2
chr10	97000000	3|4|5|6|7	5
chr10	97040000	8|9|10|11|12|13|14|15	8
chr10	97240000	3	1
chr10	97280000	4	1
chr10	97400000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr10	97680000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr10	97880000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40	38
chr10	98080000	38|39|40	3
chr10	98120000	23|25|26|27|28|29|30|31|32|33|34|35|36|37	14
chr10	98160000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|24	21
chr10	98240000	7|11	2
chr10	98400000	20|21|25|26|27|28|29|30|31	9
chr10	98440000	3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19	17
chr10	98720000	3|4|5	3
chr10	98760000	6	1
chr10	99040000	3|4	2
chr10	99280000	3|4|5|6|7|8|9	7
chr10	99360000	8|9|10	3
