Protein Group	Gene	Protein name	CPCG0268	CPCG0366	CPCG0255	CPCG0258	CPCG0324	CPCG0246	CPCG0342	CPCG0336	CPCG0339	CPCG0331	CPCG0346	CPCG0365	CPCG0345
P18135;P18136		Ig kappa chain V-III region HAH;Ig kappa chain V-III region HIC	21.10969474	20.32079754	22.8923351	22.30797822	NA	NA	19.27053028	22.91397887	22.91176694	NA	15.72892057	19.33334982	19.77405615
P18206-2;P18206;P18206-3	VCL	Vinculin	35.16713979	34.32850623	34.12082499	34.20911614	34.8335454	33.52881411	34.62107038	34.38549604	34.40995015	34.35918771	33.4972131	34.3178745	34.55457998
P18428	LBP	Lipopolysaccharide-binding protein	27.48539204	26.38687037	26.94407121	26.50282985	26.7975519	24.81624417	25.80767754	27.67265178	26.73250568	25.57873483	26.79811721	26.52087976	26.00857722
P18433-4;P18433-2;P18433-3;P18433	PTPRA	Receptor-type tyrosine-protein phosphatase alpha	23.58540135	21.80324623	21.56777744	23.18408654	24.05694402	22.75027501	26.10629582	27.107166	21.80155643	25.10464596	27.87465325	24.32242062	25.49576458
P18440	NAT1	Arylamine N-acetyltransferase 1	27.69635436	24.11850088	29.1561344	24.22294732	24.2567711	29.56305852	23.61171177	24.18943984	27.8008419	23.72382193	25.05941106	28.59457323	26.61286797
P18564-2;P18564	ITGB6	Integrin beta-6	26.70888683	27.42386459	25.84890865	26.60356168	27.85776362	27.04604019	27.53111815	27.00520528	26.28737128	26.64057633	26.44987008	24.97133891	26.38032235
P18583-5;P18583-2;P18583-7;P18583;P18583-9;P18583-10;P18583-4;P18583-3;P18583-6;P18583-8	SON	Protein SON	27.62382768	28.05672238	26.90405449	27.57925591	27.68275034	28.00588522	26.86034131	27.36463603	25.64433511	27.66373688	27.71594716	27.30663046	27.746371
P18615;P18615-3;P18615-4	NELFE	Negative elongation factor E	22.96762602	24.91498838	22.17669561	25.90274421	25.7991861	26.32601654	20.09544574	24.39056269	20.14005644	23.62069092	28.00567795	22.43717486	24.14647199
P18621;P18621-3;P18621-2	RPL17	60S ribosomal protein L17	30.60392002	30.57818973	30.84832319	30.59804866	30.28755448	31.28923273	30.20373214	30.8848557	29.95133981	30.87451799	30.52365016	30.25107418	30.37388137
P18669;Q8N0Y7	PGAM1	Phosphoglycerate mutase 1	31.16439679	30.97918689	31.46426566	31.05835037	31.89250169	32.41335588	32.56044359	32.14075214	32.22589025	31.61079096	31.71548779	31.97516364	31.80559202
P18754;P18754-2	RCC1	Regulator of chromosome condensation	28.18956887	28.81760762	28.83956474	28.75297725	28.87063333	29.373743	28.27078777	29.19961795	28.27033303	28.52203035	29.40770994	27.95693555	28.68588345
P18827	SDC1	Syndecan-1	23.06119001	23.1600135	20.49288162	23.18276733	33.40568101	NA	22.76147293	21.96323531	21.26475256	23.40225974	20.69377101	19.80266522	24.90746085
P18859;P18859-2	ATP5J	"ATP synthase-coupling factor 6, mitochondrial"	30.36897976	30.29452665	29.30117358	29.68191665	29.37322982	NA	31.3524249	29.1795372	31.07509102	28.56620147	29.34859761	28.93958415	29.11137877
P18887	XRCC1	DNA repair protein XRCC1	24.89725476	26.25525461	25.63305562	26.60215608	26.37206941	26.45483489	25.17512074	26.0704367	25.06847971	26.06260976	26.57537819	25.8476768	25.40816651
P19012	KRT15	"Keratin, type I cytoskeletal 15"	31.20181557	29.37938249	26.1739675	29.24222119	28.32656469	26.66176171	28.67643143	30.14239933	27.88396466	29.46699463	27.54288018	26.67177649	32.18982671
P19013	KRT4	"Keratin, type II cytoskeletal 4"	24.83848594	26.69036304	NA	NA	18.43884563	22.52018671	27.05425793	NA	NA	25.53542061	NA	NA	20.54646183
P19021-2;P19021-6;P19021;P19021-5;P19021-4;P19021-3	PAM	Peptidyl-glycine alpha-amidating monooxygenase;Peptidylglycine alpha-hydroxylating monooxygenase;Peptidyl-alpha-hydroxyglycine alpha-amidating lyase	18.11283945	19.02002831	21.49267275	20.20104388	24.10364665	25.93417245	19.57263792	20.34320096	16.01750467	23.92876326	22.26753377	22.46227233	24.01683154
P19075	TSPAN8	Tetraspanin-8	25.99709571	22.24870544	25.0723918	23.20436514	NA	28.93945269	20.19785307	22.30126233	30.64334901	24.2525769	25.72413654	28.9508667	28.20340636
P19086	GNAZ	Guanine nucleotide-binding protein G(z) subunit alpha	14.97125931	14.99348052	18.61239902	18.08996955	26.1500059	26.4897568	15.59776312	16.0277046	18.52618354	NA	14.5024135	20.01758363	23.9196827
P19174;P19174-2	PLCG1	"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1"	23.59256238	23.96982203	23.33526129	24.63463228	23.32317843	21.13590897	24.84493748	25.17079779	22.17072192	24.17936046	24.1401266	22.6082709	24.63982061
P19237	TNNI1	"Troponin I, slow skeletal muscle"	NA	19.87659452	NA	21.49951912	NA	27.24087712	25.07149535	NA	23.93893939	31.78098663	NA	24.15870468	NA
P19338	NCL	Nucleolin	31.40132433	31.88564827	31.18586808	32.28231158	32.12876948	31.5058158	31.55474214	32.26112899	31.55751979	31.64439482	32.12055833	31.39097403	32.09121661
P19367;P19367-4;P19367-2;P19367-3	HK1	Hexokinase-1	31.35122695	31.3294714	30.78347061	30.98468942	31.50135801	30.97967651	30.91481731	31.07796066	32.15154004	31.56217278	30.54827133	31.05503395	31.24986164
P19387	POLR2C	DNA-directed RNA polymerase II subunit RPB3	26.73161988	27.03626381	26.62327453	26.36427053	27.60021539	25.24841466	26.26956069	26.60440974	26.5336033	26.78629165	26.19840764	27.54854955	26.87905985
P19388	POLR2E	"DNA-directed RNA polymerases I, II, and III subunit RPABC1"	26.4093902	26.80906866	27.06646336	27.44507648	27.40794705	26.75817377	26.70393146	27.26724909	26.2758494	26.62998414	26.99558806	27.31232408	26.51211347
P19404	NDUFV2	"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial"	28.43011542	28.61519879	28.69738691	29.04915723	28.71300733	29.65820547	27.7095297	28.38243199	28.38302501	27.98052988	28.39795966	28.67034838	28.83535619
P19440;P19440-2;P19440-3	GGT1	Gamma-glutamyltranspeptidase 1;Gamma-glutamyltranspeptidase 1 heavy chain;Gamma-glutamyltranspeptidase 1 light chain	24.95271078	29.00094017	26.64727658	29.0295245	26.45250978	25.61385841	26.22491207	26.08548186	26.81006228	26.67235117	28.11387275	27.23940645	27.15819649
P19474;P19474-2	TRIM21	E3 ubiquitin-protein ligase TRIM21	26.89175295	25.15458638	25.13686293	24.53657478	25.06125922	23.95635522	24.27754867	24.25399504	26.17043843	22.89529543	24.48955067	24.61785075	25.91030892
P19484;P19484-2;O14948-3;O14948-4;O14948-2;O14948;P19532	TFEB	Transcription factor EB	13.9638274	16.32485431	13.99453431	16.46977302	26.49225757	NA	10.86837869	15.85637794	NA	NA	17.4700055	11.32204371	22.8302015
P19525;P19525-2	EIF2AK2	"Interferon-induced, double-stranded RNA-activated protein kinase"	27.05331623	27.60130823	27.30116422	27.67356862	27.89786195	28.32941882	27.14820603	27.55789203	26.35017388	27.47179698	27.63515997	27.6606703	26.9644113
P19623	SRM	Spermidine synthase	27.51270685	28.24954036	28.29731134	27.96027687	28.17654362	28.36936671	26.99185229	28.47526923	27.25256642	27.6977105	28.46157144	27.99359969	27.15745494
P19634;P19634-2	SLC9A1	Sodium/hydrogen exchanger 1	25.55474185	24.37715901	23.45325184	24.8526813	25.15654162	25.89398515	23.29746649	22.14066022	24.76144432	23.7352481	24.89727705	25.00030759	25.89863288
P19652	ORM2	Alpha-1-acid glycoprotein 2	28.82560545	28.35807207	30.22845862	28.98117977	28.93358272	28.29406672	29.05793887	30.02238349	29.03198961	28.46680695	29.96026368	30.25432143	28.06074075
P19784	CSNK2A2	Casein kinase II subunit alpha	26.67861699	26.89800441	27.26528833	26.72179225	27.22207026	27.92583648	25.66573315	27.44203259	26.82923066	26.76544376	26.74058373	26.59948595	26.86106007
P19793-2;P19793;P48443	RXRA;RXRG	Retinoic acid receptor RXR-alpha;Retinoic acid receptor RXR-gamma	NA	NA	NA	NA	7.810078344	7.704090423	NA	NA	NA	26.57712232	17.26265462	NA	NA
P19801;P19801-2	AOC1	Amiloride-sensitive amine oxidase [copper-containing]	26.06043171	NA	21.73814031	NA	20.07976948	14.68866545	NA	28.47168821	NA	20.71527818	NA	25.54927003	26.52747514
P19823	ITIH2	Inter-alpha-trypsin inhibitor heavy chain H2	30.36158977	29.65655601	29.81166366	29.63673777	28.57241572	31.14222763	29.48404223	29.66355879	29.29335253	29.22200781	28.66778374	29.146757	28.74390446
P19827;P19827-2;P19827-3	ITIH1	Inter-alpha-trypsin inhibitor heavy chain H1	29.84235702	28.14744217	28.52564652	28.4036787	29.02470113	27.42802454	28.99034391	28.95057013	28.26261345	28.41944369	28.24090498	28.16059365	27.61421879
P19838;P19838-2;P19838-3	NFKB1	Nuclear factor NF-kappa-B p105 subunit;Nuclear factor NF-kappa-B p50 subunit	27.72757052	27.94174181	27.11487274	27.24114801	28.11080173	28.16995394	27.41272687	27.45621257	28.15144486	28.20854167	27.56672541	26.77789056	27.11010285
P19878-2;P19878-4;P19878-3;P19878	NCF2	Neutrophil cytosol factor 2	19.23954605	20.87211293	18.27871821	15.75224829	NA	16.10249974	19.10513569	NA	NA	NA	17.96331368	14.82585511	NA
P19971;P19971-2	TYMP	Thymidine phosphorylase	30.05414706	29.09575495	28.43600674	29.12066134	28.95214763	29.02272083	28.88115242	28.87022392	28.70366059	28.29648203	29.69601214	28.53941585	28.02740405
P20020-6;P20020-3;P20020-4;P20020;P20020-5;P20020-2	ATP2B1	Plasma membrane calcium-transporting ATPase 1	25.32096243	25.99090249	25.46673071	26.05638825	26.4097637	24.23405075	24.85077994	24.89171847	25.5022141	25.98792198	26.10348253	25.11422653	25.78753441
P20036	HLA-DPA1	"HLA class II histocompatibility antigen, DP alpha 1 chain"	27.95776435	28.46771486	27.81067973	27.58804914	28.40874578	27.60134016	28.69686763	27.19891538	28.02038674	27.61283345	28.66167194	26.83782183	26.0617998
P20042	EIF2S2	Eukaryotic translation initiation factor 2 subunit 2	27.5748595	28.32595405	28.28370015	28.72240441	28.24105571	27.70771047	28.09557668	28.5278624	28.06132154	28.46300795	28.72298826	28.8204387	27.95608169
P20073-2;P20073	ANXA7	Annexin A7	30.74673238	30.38327851	30.4875541	30.70164286	30.7486205	30.69405903	30.58711347	30.70356064	31.10794242	30.86976487	29.95225617	30.69780215	30.80590751
P20142;P20142-2	PGC	Gastricsin	21.12760125	20.06205986	26.08458082	26.54398424	25.28267208	31.0656659	NA	21.18852593	21.35738738	NA	23.33303393	26.0002676	16.2845796
P20151;P20151-3;P20151-4	KLK2	Kallikrein-2	30.33920533	30.15036965	32.24650418	31.33979774	29.90044093	32.45469999	30.09718317	30.22738731	30.46922937	31.47980892	31.43691102	31.86969142	31.33390566
P20160	AZU1	Azurocidin	25.84462317	25.67974557	21.89194111	27.65779159	20.95372338	25.19554848	15.00387869	27.32686657	26.60921813	28.71435366	26.81508462	29.21982327	20.14622869
P20226-2;P20226;Q6SJ96	TBP;TBPL2	TATA-box-binding protein;TATA box-binding protein-like protein 2	NA	NA	NA	NA	10.08938922	12.66752809	NA	NA	NA	NA	NA	NA	17.37755485
Q15661;P20231;Q15661-2;Q9BZJ3;Q9BZJ3-2	TPSAB1;TPSB2	Tryptase alpha/beta-1;Tryptase beta-2	30.87671625	30.95179698	33.09819821	31.9662834	32.61106344	29.38663292	31.7832509	32.01376975	31.39768954	31.81360655	30.93295601	29.00916783	31.39292279
P20290-2	BTF3	Transcription factor BTF3	27.64111822	28.00306451	27.58686033	28.31352338	28.03470281	27.7089133	27.00073223	27.62481006	27.28417083	28.09744927	27.59226983	28.22865028	27.398925
P20292	ALOX5AP	Arachidonate 5-lipoxygenase-activating protein	24.40534974	24.24869155	23.9712278	23.99152549	21.8112206	20.15876135	23.85365813	23.73976783	22.25560207	29.53117666	24.91283756	22.66386138	18.4879545
P20309	CHRM3	Muscarinic acetylcholine receptor M3	NA	19.56802024	NA	NA	NA	NA	NA	20.38497392	NA	NA	NA	16.35097654	22.90295096
P20336	RAB3A	Ras-related protein Rab-3A	25.77873159	26.86638035	30.66975386	27.01650577	27.33174257	28.23920324	27.0734631	25.52022745	26.75082239	27.66800504	26.73320411	28.51190293	26.73533453
P20337	RAB3B	Ras-related protein Rab-3B	27.76513061	29.47122572	30.55516198	29.71175382	28.89201351	30.38109684	29.89341604	29.05786227	28.80564775	30.02423641	29.714229	29.67563458	29.01261786
P20338	RAB4A	Ras-related protein Rab-4A	23.67716017	25.5730392	27.42921947	28.52767751	27.3412976	26.20316184	24.95863348	26.23934417	28.02836088	24.43696762	28.27091236	26.00198378	26.54730517
P20339;P20339-2	RAB5A	Ras-related protein Rab-5A	27.04450881	26.79385436	27.2447928	27.44046676	27.20424149	28.32950271	27.5351821	26.31173539	27.32307464	28.29576498	27.21720906	27.80441945	27.36580005
P20340-2;P20340;P20340-4;P20340-3	RAB6A	Ras-related protein Rab-6A	29.22733471	29.04649093	30.12994689	29.1194209	29.97028603	29.11719616	29.77069366	29.23425825	29.70481623	29.53534934	29.3010769	30.03396106	29.6370114
P20585	MSH3	DNA mismatch repair protein Msh3	23.50825353	20.44609418	24.72493612	21.75435081	23.1633416	22.37061981	19.40865971	23.93950524	20.01523381	23.26784555	20.67039654	21.46081239	20.01156931
P20591;P20591-2	MX1	"Interferon-induced GTP-binding protein Mx1;Interferon-induced GTP-binding protein Mx1, N-terminally processed"	24.72964748	25.84464223	25.42023939	25.35279201	25.58611251	24.41258664	24.73175866	24.32918561	23.74825263	24.36168497	26.15683678	26.77858745	25.14175616
P20592;P20592-2	MX2	Interferon-induced GTP-binding protein Mx2	NA	23.25626972	NA	21.1418442	18.6845664	NA	21.8141553	NA	NA	NA	22.3664472	NA	NA
P20618	PSMB1	Proteasome subunit beta type-1	29.22048412	30.00327379	29.94233143	29.83767702	29.87575081	30.41215662	30.06914014	30.08199028	30.22048501	29.24919685	29.7339439	29.79137821	29.60107592
P20645	M6PR	Cation-dependent mannose-6-phosphate receptor	26.16637727	25.56748879	25.05221537	25.88165327	26.52198977	26.40412734	27.19180973	26.15182092	26.40197113	25.78304352	26.28520503	25.51191713	25.79007686
P20674	COX5A	"Cytochrome c oxidase subunit 5A, mitochondrial"	30.73268463	30.91156247	31.03348489	30.47880366	31.07058821	31.78731121	30.38322705	30.98936173	32.29408934	30.10881935	30.74717581	30.58829563	30.87403435
P20700	LMNB1	Lamin-B1	30.4968246	31.18386494	30.14018349	31.1793803	30.65984081	29.84582401	29.91013971	30.46521613	30.55088259	30.0153966	30.52798503	29.82869892	30.6506413
P20701;P20701-2;P20701-3	ITGAL	Integrin alpha-L	23.46948062	22.72570087	NA	21.60096316	28.78078137	NA	NA	22.21688104	NA	14.77275167	23.44855813	17.70807998	14.98556728
P20702	ITGAX	Integrin alpha-X	23.43844665	24.42683868	23.81514961	NA	22.38560895	20.40693027	21.91008885	21.36297578	21.83584858	24.43322252	24.32789715	22.00663343	NA
P20742;P20742-2	PZP	Pregnancy zone protein	16.53929354	14.04942956	17.25614893	16.61015809	16.05539765	NA	NA	15.8882902	17.27973045	31.63736771	19.66228193	15.4060453	17.33204591
P20774	OGN	Mimecan	33.91759802	32.35306835	34.04518211	33.5437965	33.56977402	33.85833331	32.89023751	34.25714232	34.03599106	32.34460454	33.99340949	34.66427464	33.4982708
P20810-5	CAST	Calpastatin	NA	NA	21.76530653	22.60112882	20.46072922	21.06337151	21.88903802	NA	22.38707654	22.75279788	23.34327688	NA	NA
P20810-6;P20810-7;P20810-10;P20810-9;P20810;P20810-8;P20810-4	CAST	Calpastatin	29.34168465	30.0877128	28.93361958	29.3449861	30.88678753	29.14982164	28.0914028	27.98312531	26.75084404	29.31066713	29.54412637	30.08933353	30.44411073
P20815;P08684;P20815-2;P24462;P24462-2	CYP3A5;CYP3A4	Cytochrome P450 3A5;Cytochrome P450 3A4	10.98889938	11.51731864	10.94755894	11.14056947	NA	NA	10.77739201	11.64416455	9.899985067	NA	12.38570844	NA	23.38229421
P20839-7;P20839-6;P20839;P20839-3;P20839-5;P20839-2;P20839-4	IMPDH1	Inosine-5-monophosphate dehydrogenase 1	24.38542948	30.08644961	25.21609413	24.85436169	27.53261093	27.48553109	23.3530016	24.69414974	22.02723501	25.43122653	25.47279124	31.3816141	21.18336948
P20851-2;P20851	C4BPB	C4b-binding protein beta chain	22.36730473	21.24470716	20.56533115	20.65734229	24.77867305	NA	21.06978585	20.79284714	21.09715194	17.62158853	18.22099036	19.32711637	NA
P20908	COL5A1	Collagen alpha-1(V) chain	28.900837	29.13091038	29.46011003	29.20480399	29.67133481	29.38418312	30.15586596	29.22804176	30.15004932	29.18440367	30.22863484	29.36702977	29.59962634
P20929-2;P20929-3;P20929-4;P20929	NEB	Nebulin	22.5778305	22.32053567	20.71969151	20.11497834	21.94756631	21.16220549	23.0736398	19.89529983	22.35196169	20.79117767	22.70232064	23.0274277	22.57166607
P20933	AGA	N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase;Glycosylasparaginase alpha chain;Glycosylasparaginase beta chain	22.39708703	26.53876056	27.64996177	25.65992798	NA	32.8385313	22.2248926	26.09526527	24.84199207	26.03228953	27.35691079	27.4880672	26.57603524
P20936-2;P20936	RASA1	Ras GTPase-activating protein 1	24.48338458	22.6625562	24.3636018	24.20560891	23.39427007	24.97490037	24.10182308	24.27524129	24.96112204	23.45357688	24.47793766	23.88476132	24.3203371
P20962	PTMS	Parathymosin	30.27041341	30.12788333	30.10934332	31.38607479	30.39310838	30.01049208	29.15264733	29.5199542	27.46062012	30.3560548	31.71170657	31.20495954	31.90911656
P21127-8;P21127-3;P21127-2;P21127;P21127-12;P21127-4;P21127-5;P21127-10;P21127-6;P21127-9;Q9UQ88-4;Q9UQ88-3;Q9UQ88-2;Q9UQ88;Q9UQ88-10;Q9UQ88-5;Q9UQ88-9;Q9UQ88-8	CDK11B;CDK11A	Cyclin-dependent kinase 11B;Cyclin-dependent kinase 11A	23.61596681	25.39389594	23.24713901	25.10888744	24.88247081	24.78873992	23.49239141	24.48642333	23.27877748	24.7315607	23.76615688	23.45732753	24.59049486
P21246	PTN	Pleiotrophin	16.53525171	12.42836664	24.98230779	19.86947662	NA	NA	18.23242444	20.56716622	17.79025983	20.81215732	24.13085553	25.29857824	22.93246545
P21266	GSTM3	Glutathione S-transferase Mu 3	30.67088007	28.81097927	30.91086404	29.46999712	30.46603791	28.74761165	30.7680561	28.86797026	28.93847768	29.38506638	28.62101044	29.9674931	31.46538591
P21281;P15313	ATP6V1B2	"V-type proton ATPase subunit B, brain isoform"	29.88738812	29.65651391	30.55355185	30.00687696	30.60649558	30.65884974	31.19255111	30.48088012	30.37770765	30.36757336	29.99312641	30.19214917	30.25795086
P21283;Q8NEY4-2;Q8NEY4	ATP6V1C1	V-type proton ATPase subunit C 1	27.00716075	27.35686981	28.08688229	27.1018355	27.65549221	27.66186486	28.39555595	28.02527169	27.37097046	27.70246586	27.70731825	27.7850792	27.47185414
P21291	CSRP1	Cysteine and glycine-rich protein 1	34.8669491	33.73721358	33.92872916	34.30696788	34.58331145	32.51443733	34.08172888	33.72308891	32.1631439	34.41425395	33.25219669	34.03683295	34.71379403
P21333-2;P21333	FLNA	Filamin-A	38.1805303	37.01814103	37.18820934	37.28841813	37.81276587	36.41523316	37.36885259	37.3813451	36.83577754	37.3096673	36.26099737	37.06267195	37.47330411
P21359-2;P21359-6;P21359;P21359-4;P21359-3;P21359-5	NF1	Neurofibromin;Neurofibromin truncated	22.39499549	23.25423638	22.88853373	21.67158249	22.17066518	23.3065087	23.11821839	24.09712022	24.38416466	22.66458966	22.02703061	22.98963594	22.81194517
P21397;P21397-2	MAOA	Amine oxidase [flavin-containing] A	31.01512766	31.44228435	31.41122944	30.76657268	31.33893103	31.83609114	32.60277924	30.4983577	33.33603006	32.50403454	29.8223009	29.82133804	30.53305016
P21399;O00408-5	ACO1	Cytoplasmic aconitate hydratase	30.34865872	30.40547411	30.53112279	30.16647471	30.61027871	31.0081577	30.63770666	30.40780615	30.93524683	30.54980459	30.37622933	30.53061072	30.57421192
P21579	SYT1	Synaptotagmin-1	23.24458008	NA	29.86909347	20.54145159	24.95226964	24.24817448	20.46183586	21.04808626	23.81221141	22.02897137	21.83516794	27.26037233	22.89076952
P21589-2;P21589	NT5E	5-nucleotidase	27.9319662	28.04323155	27.72078403	28.79385635	27.91365954	27.87039219	27.60875355	28.25918366	27.73718805	27.627101	28.41928378	27.87018214	28.07208523
P21741;P21741-2	MDK	Midkine	24.71534859	17.60701389	22.09250512	26.48330853	27.7182622	NA	28.76734053	18.439498	18.96143287	26.36155771	26.94252644	24.147413	25.7367646
P21757;P21757-2	MSR1	Macrophage scavenger receptor types I and II	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.42728093
P21796	VDAC1	Voltage-dependent anion-selective channel protein 1	31.45152819	31.50460883	31.16148055	31.21915617	32.12922275	30.50217043	32.39808692	31.61823342	32.53136315	31.77812788	31.19993584	31.60088468	32.0124651
P21810	BGN	Biglycan	34.06180118	33.72479178	33.95923359	34.00866934	34.83754568	34.08560226	34.56966991	35.01897993	34.36393473	33.82885215	34.75689162	33.89044947	32.70325091
P21817-3;P21817-2;P21817	RYR1	Ryanodine receptor 1	13.09146565	12.56293403	10.36945922	15.07298401	NA	NA	11.79058748	NA	10.00456824	15.31875891	12.4504798	9.688450789	NA
P21860-4;P21860;P21860-5;P21860-3	ERBB3	Receptor tyrosine-protein kinase erbB-3	NA	23.91333907	NA	23.64637134	12.95327699	15.83887304	NA	25.32001319	NA	21.7697384	23.34504517	25.89064005	22.85753489
P21912	SDHB	"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial"	29.21006333	29.52763168	29.54308072	29.51044512	29.643527	29.76130835	30.72671921	29.75346724	30.08766975	29.81037341	29.36798164	28.9807034	29.25699912
P21926	CD9	CD9 antigen	31.3533877	31.2160168	32.35924215	31.6667237	31.64692124	32.50889172	30.59683092	31.40880015	31.7075052	31.91393299	30.88185602	32.56306158	32.16001897
P21953;P21953-2	BCKDHB	"2-oxoisovalerate dehydrogenase subunit beta, mitochondrial"	28.19525586	28.50678523	29.36377581	28.60231236	28.63124519	29.31586292	29.64317622	29.4991209	29.14280933	28.23957252	29.01922297	29.10900303	29.20833737
P21964-2;P21964	COMT	Catechol O-methyltransferase	30.80503878	31.1004883	30.6034929	30.35771878	31.3365602	30.6320917	29.94819763	30.50140787	30.51129987	30.30286396	30.13749057	30.78213884	30.71564222
P21980;P21980-2;P21980-3;O43548-2;O43548	TGM2	Protein-glutamine gamma-glutamyltransferase 2	33.46371641	32.8325473	32.27686654	32.68005417	33.47562336	32.72670171	32.38700529	32.87393544	33.24290223	33.14854119	34.46231667	32.83982951	32.0560912
P22033	MUT	"Methylmalonyl-CoA mutase, mitochondrial"	27.88280784	27.63651154	28.87062431	27.85737129	28.52595036	28.03187895	28.59544575	28.26650608	28.22269759	28.43267029	28.25873885	27.88541612	28.62101033
P22059;Q969R2-5;Q969R2-4	OSBP	Oxysterol-binding protein 1	29.24478694	28.9529258	30.03996555	29.46044596	29.11810303	30.78459687	29.02938699	29.02746825	29.98138654	29.44367545	29.39419843	29.42587603	29.19072738
P22061;P22061-2	PCMT1	Protein-L-isoaspartate(D-aspartate) O-methyltransferase	30.28196692	29.94395883	30.05136844	29.74224104	30.17113777	30.46029191	29.97817969	30.09598796	29.71299987	30.00035257	29.57206501	30.32260427	29.68903809
P22087	FBL	rRNA 2-O-methyltransferase fibrillarin	29.04461587	29.44743851	29.69234489	30.3128568	29.53101357	30.06523642	29.17475194	30.42482768	27.64029293	28.83105112	29.72820542	29.66933223	29.59721016
P22090	RPS4Y1	"40S ribosomal protein S4, Y isoform 1"	26.83110587	27.26172974	27.47704857	NA	27.75401504	27.73783714	27.17176066	27.42908144	27.14476123	25.0426639	27.48927144	27.58835409	27.98448394
P22102;P22102-2	GART	Trifunctional purine biosynthetic protein adenosine-3;Phosphoribosylamine--glycine ligase;Phosphoribosylformylglycinamidine cyclo-ligase;Phosphoribosylglycinamide formyltransferase	28.91648501	29.81944302	29.95822069	29.80820684	29.41942017	30.00598674	28.91497065	29.74542006	29.59216566	29.61113025	29.8325937	29.70121864	29.48726925
P22105;P22105-2;Q16473;REV__Q96CG3	TNXB	Tenascin-X	29.81547193	29.98436319	30.3286302	29.43866877	29.9580433	30.15282028	31.33100189	29.61685269	28.65584333	30.81937473	29.96846219	30.21918284	28.88228422
P22105-3	TNXB	Tenascin-X	17.13179692	20.91414522	21.31180594	NA	23.13997162	NA	22.53623039	20.41131772	17.29742886	20.56345349	21.30938834	20.02347934	NA
P22223;P22223-2	CDH3	Cadherin-3	25.27081744	22.26683965	NA	21.56684929	23.40007331	NA	NA	21.43243131	NA	16.20785066	NA	NA	19.76996678
P22234;P22234-2	PAICS	Multifunctional protein ADE2;Phosphoribosylaminoimidazole-succinocarboxamide synthase;Phosphoribosylaminoimidazole carboxylase	30.05892228	30.70366466	31.12336437	30.70929559	31.00026288	31.02603833	30.19569235	31.03439376	30.54081279	30.64778198	30.58775594	30.92849581	30.68902903
P22304;P22304-3;P22304-2	IDS	Iduronate 2-sulfatase;Iduronate 2-sulfatase 42 kDa chain;Iduronate 2-sulfatase 14 kDa chain	NA	NA	NA	NA	NA	26.31283471	NA	20.47594444	NA	NA	19.08880453	19.32011349	NA
P22307;P22307-7;P22307-8;P22307-4;P22307-2;P22307-6;P22307-3;P22307-5	SCP2	Non-specific lipid-transfer protein	29.17193477	29.67606855	30.49307531	29.47060296	29.65260413	30.83391184	29.74766411	29.22897155	30.06789341	29.77523389	30.3476407	30.70844498	29.90275955
P22314-2;P22314	UBA1	Ubiquitin-like modifier-activating enzyme 1	33.52595567	33.14580398	33.19762693	33.47150561	33.53278944	33.53632301	33.01242437	33.7199377	33.71546704	33.24157859	33.31161251	33.64639266	33.25605464
P22352	GPX3	Glutathione peroxidase 3	29.15749154	29.05893327	29.86624153	29.43922513	29.17997962	30.80573	30.34433814	29.50940081	29.25452179	29.19624068	30.02553822	28.95767113	29.07488961
P22392-2;P22392	NME2	Nucleoside diphosphate kinase B	31.27201328	31.90255671	32.28245531	31.93491419	32.46378782	31.54685283	31.7784628	32.61420989	32.34149558	31.83854013	32.22936816	31.77253221	32.09196803
P22413	ENPP1	Ectonucleotide pyrophosphatase/phosphodiesterase family member 1;Alkaline phosphodiesterase I;Nucleotide pyrophosphatase	28.438452	28.22200554	26.59075526	27.68102681	28.27174153	23.93198741	28.08391218	28.29842943	25.13142381	27.43286982	28.93869802	26.4462772	26.97682309
P22570;P22570-7;P22570-5;P22570-2;P22570-3;P22570-4;P22570-6	FDXR	"NADPH:adrenodoxin oxidoreductase, mitochondrial"	28.03459825	26.77418211	27.35684586	27.43193812	27.36189252	27.21362072	28.89081141	26.8335029	28.83567306	28.03592402	26.89746638	27.37417535	28.19245042
P22626;P22626-2	HNRNPA2B1	Heterogeneous nuclear ribonucleoproteins A2/B1	32.57476947	33.08465659	32.61882105	33.15146191	32.82648867	32.69517374	32.44467478	32.7535218	31.45748812	32.51049348	33.10574151	32.66182807	32.91787851
P22670	RFX1	MHC class II regulatory factor RFX1	19.61506176	20.02864451	NA	19.04572186	16.1273747	13.61210489	18.34242683	18.60388402	19.1757126	NA	18.88715139	20.60695118	19.14898295
P22681	CBL	E3 ubiquitin-protein ligase CBL	21.4724439	22.19753231	21.34491826	21.77381883	21.52477629	18.75368614	23.34637072	21.11775179	23.58222269	24.5197455	22.82000761	21.62109755	25.09073182
